title,type,status,rating,service,watching_with,season,notes
Justified: City Primeval,miniseries,watched,3.5,Hulu,solo,Complete,
Justified,watched,watched,4,Hulu,solo,Complete,I have a little crush on Timothy Olyphant
Special Ops: Lioness,tv,watched,4,Paramount+,solo,S1,
Star Trek: Picard,tv,watched,3.5,Paramount+,solo,Complete,
Tulsa King,tv,waiting,3,Paramount+,solo,S1,Waiting for Season 2
Halo,tv,watched,3,Paramount+,solo,Complete,Cancelled
Mrs. Davis,tv,watched,2,Peacock,solo,S1,Abandoned after 6 episodes
Based on a True Story,tv,waiting,3,Peacock,solo,S1,Waiting for Season 2
Yellowstone,tv,watched,3,Paramount+,solo,Complete,
Star Wars (Skywalker Saga),movie,watching,4,Disney+,kids,E6,Rewatching with the kids
Nobody Wants This,tv,watched,4,Netflix,spouse,S1,Both enjoyed
The Diplomat,tv,waiting,5,Netflix,spouse,S1-S2,Both excited for renewal
Hotel Costiera,tv,watched,4,Netflix,spouse,S1 (Cancelled),Both enjoyed the first 6 episodes; then it completely went off course
The Marvelous Mrs. Maisel,tv,watched,5,Prime,spouse,Complete,Both enjoyed
Etoile,tv,watched,4.5,Netflix,spouse,Complete,Both enjoyed; sad it was not renewed
Real Housewives of Beverly Hills,tv,watched,4,Bravo,spouse,Up to date,Katie watches all the Bravo shows; this is my little guilty pleasure
High Potential,tv,watched,4,Hulu,spouse,S1,It's a fun light hearted case-of-the-week show
Only Murders in the Building,tv,watched,5,Hulu,spouse,S1-S3,Both love
A Man on the Inside,tv,watched,4,Netflix,spouse,S1,Both enjoyed
Shrinking,tv,watched,5,Prime,spouse,S1,Both enjoyed; I really like Jason Segel
Poker Face,tv,watched,4,Peacock,spouse,S1,Both enjoyed
Russian Doll,tv,watched,5,Netflix,solo,S1-S2,David thought both seasons good; darker tone
The Bear,tv,watched,5,Hulu,spouse,S1-S2,Both enjoyed; intense ensemble kitchen drama
The Good Place,tv,abandoned,2,Netflix,spouse,Partial,Didn't click
Beef,tv,watched,5,Netflix,solo,S1,David enjoyed; too dark/violent for Katie
Godless,tv,watched,5,Netflix,solo,S1,David enjoyed; too dark/violent for Katie
Never Have I Ever,tv,watched,4,Netflix,spouse,Complete,Both enjoyed
Sex Education,tv,watched,5,Netflix,spouse,S1-S3,Both really liked
Wednesday,tv,watched,4,Netflix,solo,S1,David loved it; not Katie's style
The Crown,tv,watched,5,Netflix,spouse,S1-S6,Both enjoyed
Bridgerton,tv,watched,4,Netflix,spouse,S1,Both enjoyed
Mad Men,tv,watched,5,Prime,solo,Complete,Really good; wouldn't rewatch
Breaking Bad,tv,watched,5,Netflix,solo,Complete,One of the best shows on TV; perfect ending
The Newsroom,tv,watched,5,HBO,solo,Complete,Perfect; loves Aaron Sorkin
Brooklyn Nine-Nine,tv,watched,5,Netflix,spouse,Complete,Wonderfully hilarious (even with mockumentary style)
Community,tv,watched,4,Netflix,spouse,Complete,Miss joy of original watches
Scrubs,tv,watched,4,Netflix,spouse,Complete,Miss joy of original watches
Ted Lasso,tv,watched,5,Apple TV+,spouse,Complete,Nearly perfect; both loved
Unbreakable Kimmy Schmidt,tv,watched,4,Netflix,spouse,S1-S3,Two great seasons then fell apart
One Day,miniseries,watched,4,Netflix,spouse,Complete,What a tragic story; both enjoyed
The Expanse,tv,watched,5,Prime,solo,S1-S6,One of the best sci-fi shows; great ensemble cast and storylines
